time,activity,pain,gain,stu_id,time_type,time_hr,time_min,time_range,group_pain,group_gain,activity_num,last_act
8.3,ถึงที่ทำงาน,คล้ายจะขี้เกียจทำงาน,ได้ที่จอดรถในชั้นที่เดินเข้าตึกได้ง่าย,6210422010,,8,30,08.00-09.00,ความลำคาญ,ฟิน,3,
8.45,เดินไปร้านกาแฟ,ช่วงเวลาคนเยอะ ต่อคิวนาน,"เจอคู่รักใหม่มาแอบจิบกาแฟ , ได้ฟังเรื่องชาวบ้านที่เค้ามาเม้ามอยกัน , นึกงานออก",6210422010,,8,45,08.00-09.00,ความลำคาญ,ฟิน,4,
9.3,ประชุมกับผู้บริหาร,หาข้อสรุปไม่ได้,ทุกคนมีข้อเสนอแนะเยอะมาก,6210422010,,9,30,09.00-10.00,ความลำคาญ,พักผ่อน,5,
11.3,ประชุมเลิก กลับมาที่โต๊ะทำงาน,เริ่มหิว,ประชุมกลุ่มย่อย หาร้านกินข้าวกลางวัน,6210422010,,11,30,11.00-12.00,หิว-กลัวอ้วน,ฟิน,6,
11.4,ออกไปทานข้าวกลางวัน,อิ่มเกินไป,"ได้กินของอร่อย , ได้ข้อสรุปงานที่คิดไม่ออกเมื่อวันก่อน",6210422010,,11,40,11.00-12.00,เหนื่อย,ฟิน,7,
13.15,ทำงาน,กินเยอะ เริ่มง่วง,ได้งานแน่นอน,6210422010,,13,15,13.00-14.00,ง่วง,ฟิน,8,
14,ประชุมกับหน่วยาน,หาข้อสรุปไม่ได้,บริษัทจ้างมาประชุม อย่างน้อยก็มีงานทำ,6210422010,,14,0,14.00-15.00,ความลำคาญ,ฟิน,9,
15,จิบกาแฟยามบ่าย,กินกาแฟตอนนี้ น่าจะไม่ได้นอน,ตาค้าง มีเอเนอยี่สูง พร้อมทำงานต่อ,6210422010,,15,0,15.00-16.00,ความลำคาญ,ฟิน,10,
15.15,ทำงาน,,,6210422010,,15,15,15.00-16.00,ไม่ระบุ,ไม่ระบุ,11,
15.3,ประชุม,ได้ข้อสรุปจากการประชุมเรื่องเดิมใน ครั้งที่ 3,ได้ข้อสรุป,6210422010,,15,30,15.00-16.00,ความลำคาญ,ฟิน,12,
16.3,ทำงาน,,,6210422010,,16,30,16.00-17.00,ไม่ระบุ,ไม่ระบุ,13,
17.15,คุยกับเพื่อนร่วมงาน เย็นนี้ไปร้านไหนดี,เพื่อนงานยังไม่เสร็จ ดองไว้เยอะ,ได้ร้านที่จะไป,6210422010,,17,15,17.00-18.00,งานเพิ่ม-ไม่เสร็จ,ฟิน,14,
18,ทานอาหารเย็นกับเพื่อน,ทุกคนหิว อาหารหมดไวมาก,"นินทาหัวหน้า, ได้ข้อสรุปจากเรื่องที่ประชุมเมื่อวันก่อน !!",6210422010,,18,0,18.00-19.00,ความลำคาญ,ฟิน,15,
18.3,จิบไวน์,เมา,รอสร่างเมา เจอตำรวจไม่โดนเป่า,6210422010,,18,30,18.00-19.00,ความลำคาญ,ฟิน,16,
20,ถึงบ้าน,แม่สงสัย ทำไมกลับไว,มีเวลาทำอย่างอื่นต่อ,6210422010,,20,0,20.00-21.00,ความลำคาญ,ทำการบ้าน,17,
20.3,อาบน้ำ,ขี้เกียจ หนาววว,ตัวหอม สร่างเมา ตาสว่าง,6210422010,,20,30,20.00-21.00,หนาว,ฟิน,18,
20.45,อ่านหนังสือ ทำงานนอก,ขี้เกียจ เหนื่อย,ได้งาน ได้ความรู้,6210422010,,20,45,20.00-21.00,ความลำคาญ,เรียนรู้สิ่งใหม่,19,
23.3,ดูซีรีย์จีน,ขัดใจชะนีในเรื่อง มีแต่พระเอกแทนได้ไหม,พระเอกกล้ามหล่อมาก ได้ฝึกฟังภาษาจีนให้คุ้นหู ,6210422010,,23,30,23.00-24.00,ความลำคาญ,ฟิน,20,
0.3,นอน,อยากดูซีรีย์ต่อ แต่ต้องนอน,นอนเยอะๆ แก่ช้า ไม่ต้องเสียตังไปฉีดโบ,6210422010,,0,30,00.00-01.00,ความลำคาญ,ฟิน,21,1.0
8.00,"ตื่นนอนจากนาฬิกาปลุก, เช็คโทรศัพท์มีข้อความอะไรบ้าง อัปเดตข่าวสารจาก twitter","รู้สึกไม่อยากลุกจากที่นอน, หมดเวลาไปกับการดูข้อความใน Social","ตื่นทันที, รับรู้ข่าวสารที่เกิดขึ้น ไม่ตกข่าว",6210422031,,8,0,08.00-09.00,ความลำคาญ,ฟิน,1,
8.30,อาบน้ำ แต่งตัว เตรียมตัวทำงาน,ไม่สดชื่น ไม่พร้อมเริ่มวันใหม่,กระปี้กระเปร่า ตาสว่าง,6210422031,,8,30,08.00-09.00,ความลำคาญ,ฟิน,2,
9.00,เริ่มทำงาน WFH,เบื่อ ,ไม่ต้องเดินทาง,6210422031,,9,0,09.00-10.00,รถติด-ต้องขับรถ,ฟิน,3,
10.45,พักเบรค หาอะไรรองท้อง,หิว ไม่มีพลังในการทำงาน,อิ่ม มีแรงในการทำงาน,6210422031,,10,45,10.00-11.00,ความลำคาญ,ฟิน,4,
11.00,ทำงานต่อ,งานยังไม่เสร็จ,งานเสร็จทันตามแผน,6210422031,,11,0,11.00-12.00,งานเพิ่ม-ไม่เสร็จ,ฟิน,5,
12.00,พักเบรคเที่ยง กินข้าว อ่านนิยาย 1 ตอน เช็คข่าวใน Social เล่นเกมส์ 1 รอบ,หิว ไม่มีพลังในการทำงาน เบื่อ,อิ่ม มีพลังในการทำงาน ได้พักคลายเครียดทำในสิ่งที่รู้สึกชอบ,6210422031,,12,0,12.00-13.00,ความลำคาญ,พักผ่อน,6,
13.00,ทำงานต่อ,งานยังไม่เสร็จ,งานเสร็จทันตามแผน,6210422031,,13,0,13.00-14.00,งานเพิ่ม-ไม่เสร็จ,ฟิน,7,
14.30,พักเบรค,เบื่อ ,ได้พักเติมพลัง,6210422031,,14,30,14.00-15.00,รถติด-ต้องขับรถ,พักผ่อน,8,
14.45,ทำงานต่อ,งานยังไม่เสร็จ,งานเสร็จทันตามแผน,6210422031,,14,45,14.00-15.00,งานเพิ่ม-ไม่เสร็จ,ฟิน,9,
17.30,พักเบรคงาน ช่วงเย็น ออกจากบ้านไปหาของกิน ไปซื้อของที่ตั้งใจจะซื้อ,ต้องขับรถออกจากบ้าน,ได้ของกิน ได้ของที่ตั้งใจจะซื้อ ได้ออกไปผ่อนคลาย,6210422031,,17,30,17.00-18.00,รถติด-ต้องขับรถ,ฟิน,10,
18.30,ถึงบ้าน เก็บของ,บ้านรก,อยู่ในที่คุ้นเคย สบายใจ บ้านเป็นระเบียบ,6210422031,,18,30,18.00-19.00,ความลำคาญ,พักผ่อน,11,
19.00,ทำงานต่อ,งานยังไม่เสร็จ,งานเสร็จก่อนเวลา เคลียร์ออกได้,6210422031,,19,0,19.00-20.00,งานเพิ่ม-ไม่เสร็จ,ฟิน,12,
21.00,อาบน้ำ,รู้สึกเหนียวตัว สกปรก,รู้สึกสดชื่น สะอาด,6210422031,,21,0,21.00-22.00,ความลำคาญ,สดชื่น,13,
21.30,นั่งคุยกับพี่สาว เล่นกับแมว,รู้สึกเครียดจากงาน,ได้มีปฏิสัมพันธ์กับครอบครัวและแมว ได้ระบายความเบื่อ แมวไม่เหงา,6210422031,,21,30,21.00-22.00,ความลำคาญ,ฟิน,14,
22.00,"เวลาผ่อนคลาย ดู youtube, อ่านนิยาย, social",รู้สึกเครียดจากงาน,ผ่อนคลาย มีความสุข รู้เหตุการณ์ที่เกิดขึ้นในวันนี้มีอะไรบ้าง,6210422031,,22,0,22.00-23.00,ความลำคาญ,พักผ่อน,15,
00.00,นอน,ง่วง,พักผ่อน,6210422031,,0,0,00.00-01.00,ง่วง,พักผ่อน,16,1.0
06.30,ตื่นมาปิดนาฬิกาปลุก รอบที่ 1,ล้า ไม่อยากลุก,ได้นอนต่อ,6210422032,,6,30,06.00-07.00,ความลำคาญ,พักผ่อน,1,
07.00,ตื่นมาปิดนาฬิกาปลุก รอบที่ 2,หนวกหู ไม่อยากลุก,ได้นอนต่อ,6210422032,,7,0,07.00-08.00,ความลำคาญ,พักผ่อน,2,
07.30,ตื่นนอน,รู้สึกขี้เกียจ ไม่อยากลุก,ได้ไปทำกิจกรรมต่างๆ,6210422032,,7,30,07.00-08.00,ความลำคาญ,ฟิน,3,
07.35,เล่มเกมส์,ใช้เวลาในการเล่น เปลืองเวลา ลืมเวลา,คลายความงัวเงีย,6210422032,,7,35,07.00-08.00,ความลำคาญ,พักผ่อน,4,
07.50,อาบน้ำ,หนาว,สดชื่น และตื่นเต็มที่,6210422032,,7,50,07.00-08.00,หนาว,สดชื่น,5,
08.10,แต่งตัว,ใช้เวลาในการเลือกเสื้อผ้า แต่งหน้า แต่งตัว ไม่รู้จะใส่อะไร,สวย เข้ากล้องแล้วหน้าไม่ซีด,6210422032,,8,10,08.00-09.00,ความลำคาญ,ฟิน,6,
08.30,กินอกไก่ไข่ต้ม คลีน (พ่อทำไว้ให้),จืด ไม่อร่อย เบื่อ,ได้สุขภาพ น้ำหนักไม่ขึ้น,6210422032,,8,30,08.00-09.00,ความลำคาญ,ออกกำลังกาย,7,
09.00,เปิด MS Team เช็คอินการทำงาน,ขี้เกียจ,ได้เงินเดือน,6210422032,,9,0,09.00-10.00,ความลำคาญ,ได้เงิน,8,
09.05,เปิดอีเมล์ ตอบเมล์ Support ลูกค้า,ขี้เกียจคุย โดนลูกค้าโวยวายใส่,ได้เงินเดือน,6210422032,,9,5,09.00-10.00,ความลำคาญ,ได้เงิน,9,
